前缀	数量	厂牌Key	card	前缀介绍	厂牌介绍
FC2	24425	FC2	FC2	ok	ok
MEYD	961	溜池ゴロー	溜池五郎	weak	ok
JUL	954	Madonna	Madonna	ok	ok
IPX	950	IDEA POCKET	IP社	ok	ok
STARS	946	SOD Create	SOD	ok	ok
SSIS	942	S1 NO.1 STYLE	S1	ok	ok
SSNI	942	S1 NO.1 STYLE	S1	ok	ok
MXGS	937	MAXING	MAXING	weak	ok
JUQ	935	Madonna	Madonna	ok	ok
MIDE	933	MOODYZ	MOODYZ	ok	ok
JUC	921	Madonna	Madonna	weak	ok
ABP	919	PRESTIGE	蚊香社	ok	weak
SNIS	915	S1 NO.1 STYLE	S1	ok	ok
JUY	908	Madonna	Madonna	ok	ok
ONED	880	S1 NO.1 STYLE	S1	ok	ok
MDYD	873	溜池ゴロー	溜池五郎	ok	ok
MIAA	872	MOODYZ	MOODYZ	ok	ok
DASS	864	ダスッ！	Das!	ok	ok
IPZ	850	IDEA POCKET	IP社	ok	ok
PPPD	846	OPPAI	欧派	ok	ok
SONE	831	S1 NO.1 STYLE	S1	ok	ok
MIDD	813	MOODYZ	MOODYZ	ok	ok
SPRD	807	タカラ映像	Takara	ok	weak
CAWD	806	kawaii	kawaii*	ok	ok
HMN	801	本中	本中	weak	ok
RBD	800	Attackers	Attackers	ok	ok
MIDV	798	MOODYZ	MOODYZ	ok	ok
FSDSS	796	FALENO	FALENO	ok	ok
WANZ	793	WANZ	WANZ	ok	weak
JUR	789	Madonna	Madonna	ok	ok
EBOD	787	E-BODY	E-BODY	ok	ok
ADN	785	Attackers	Attackers	ok	ok
JUX	784	Madonna	Madonna	ok	ok
SAVR	780	SOD Create	SOD	ok	ok
DV	760	アリスJAPAN	Alice Japan	weak	ok
DASD	758	ダスッ！	Das!	weak	ok
MIAD	754	MOODYZ	MOODYZ	ok	ok
JUFD	746	Fitch	菲奇	ok	ok
IPTD	743	IDEA POCKET	IP社	ok	ok
NHDTB	743	ナチュラルハイ	Natural High	ok	weak
IPZZ	740	IDEA POCKET	IP社	ok	ok
NACR	732	Planet Plus	Planet Plus	weak	weak
STAR	723	SOD Create	SOD	ok	ok
PRED	721	プレミアム	Premium	ok	weak
GVH	719	Glory Quest	Glory Quest	weak	ok
HND	712	本中	本中	weak	ok
NHDTA	709	ナチュラルハイ	Natural High	weak	weak
XVSR	705	MAX-A	MAX-A	ok	weak
VRKM	704	V＆R PRODUCE	V&R制作	weak	ok
SVDVD	702	Sadistic Village	施虐村	ok	ok
DSVR	690	SOD Create	SOD	weak	ok
MIGD	688	MOODYZ	MOODYZ	ok	ok
RCT	685	ROCKET	ROCKET	ok	weak
DVDMS	678	DEEP'S	DEEP'S	ok	ok
PGD	675	プレミアム	Premium	ok	weak
SOE	670	S1 NO.1 STYLE	S1	ok	ok
REBD	646	REbecca	REbecca	ok	weak
GVG	638	Glory Quest	Glory Quest	weak	ok
HUNTA	638	Hunter	猎人	ok	ok
DVAJ	635	アリスJAPAN	Alice Japan	weak	ok
DANDY	628	DANDY	DANDY	ok	ok
SW	620	アキノリ	AKNR	weak	weak
MIDA	618	MOODYZ	MOODYZ	ok	ok
START	617	SOD Create	SOD	ok	ok
SHKD	613	Attackers	Attackers	ok	ok
ALDN	611	タカラ映像	Takara	ok	weak
CLUB	610	変態紳士倶楽部	变态绅士俱乐部	weak	weak
HUNT	609	Hunter	猎人	ok	ok
WAAA	604	WANZ	WANZ	weak	weak
HUNTB	594	Hunter	猎人	weak	ok
MVSD	593	M's Video	M's Video	weak	ok
FSET	592	アキノリ	AKNR	weak	weak
VENU	588	Venus	Venus	ok	weak
VEC	569	Venus	Venus	ok	weak
CEMD	563	Celeb no Tomo	Celeb no Tomo	ok	ok
BLK	560	kira☆kira	kira☆kira	ok	ok
RCTD	558	ROCKET	ROCKET	ok	weak
HUNTC	553	Hunter	猎人	weak	ok
JUFE	534	Fitch	菲奇	weak	ok
ATID	531	Attackers	Attackers	ok	ok
ROE	530	Madonna	Madonna	ok	ok
XRW	516	REAL	REAL	weak	ok
SDDE	515	SOD Create	SOD	ok	ok
VNDS	504	V＆R PRODUCE	V&R制作	ok	ok
HBAD	499	ヒビノ	Hibino	weak	ok
SDMU	498	SOD Create	SOD	ok	ok
NASH	495	Crystal	Crystal	ok	ok
NATR	489	ビッグモーカル	Big Morkal	weak	ok
JUKD	480	Madonna	Madonna	weak	ok
UMD	476	LEO	LEO	weak	weak
BF	473	BeFree	BeFree	ok	ok
DVDES	472	DEEP'S	DEEP'S	weak	ok
MKMP	472	Million	Million	weak	weak
SAMA	465	S级素人	S级素人	ok	weak
CJOD	462	痴女ヘブン	痴女天堂	ok	weak
DLDSS	459	DAHLIA	DAHLIA	weak	weak
CESD	458	Celeb no Tomo	Celeb no Tomo	ok	ok
SUPA	441	Amateur Kikaku	Amateur Kikaku	ok	weak
BBAN	439	ビビアン	Bibian	ok	ok
IESP	432	アイエナジー	IEnergy	weak	weak
AUKG	430	U＆K	U&K	weak	weak
MUKD	430	無垢	无垢	weak	ok
KAWD	420	kawaii	kawaii*	ok	ok
ARM	419	アロマ企画	阿洛玛企划	weak	ok
SQTE	412	S-Cute	S-Cute	ok	ok
NSFS	411	ながえSTYLE	Nagae STYLE	ok	weak
NSPS	410	ながえSTYLE	Nagae STYLE	ok	weak
SDMT	409	SOD Create	SOD	ok	ok
FAX	405	FAプロ	FAプロ	ok	weak
SDNM	404	SOD Create	SOD	ok	ok
HAVD	395	ヒビノ	Hibino	weak	ok
DVMM	394	DEEP'S	DEEP'S	weak	ok
NITR	394	Crystal	Crystal	weak	ok
EKDV	392	Crystal	Crystal	ok	ok
PPPE	391	OPPAI	欧派	ok	ok
SABA	386	Amateur Kikaku	Amateur Kikaku	ok	weak
KIWVR	385	Million	Million	ok	weak
SORA	384	山と空	山与空	weak	weak
SKMJ	383	赤面女子	赤面女子	ok	weak
RKI	381	ROOKIE	ROOKIE	weak	ok
SCPX	381	SCOOP	SCOOP	weak	weak
YSN	377	桃太郎映像	桃太郎映像出版	weak	ok
ABF	374	PRESTIGE	蚊香社	ok	weak
MDB	372	BAZOOKA	BAZOOKA	ok	ok
