region_id	region_label	prefix	maker	maker_zh	maker_ja	code_read	status	notes
japan_censored	日本有码	3DSVR	SODクリエイト		SODクリエイト	std3_dmm	active	历史扩前缀 movieCount=1876
japan_censored	日本有码	AARM	Aroma Planning / 阿洛玛企划	Aroma / 阿洛玛企划	アロマ企画	std3_dmm	active	权威站:javbus · 本地库确认
japan_censored	日本有码	ABF	PRESTIGE / 普雷斯提奇	PRESTIGE / 普雷斯提奇	プレステージ	std3_open	active	专属现行 · 权威站:javbus · 本地库确认
japan_censored	日本有码	ABP	PRESTIGE / 普雷斯提奇	PRESTIGE / 普雷斯提奇	プレステージ	std3_dmm	active	专属经典 · 本地库确认
japan_censored	日本有码	ABS	PRESTIGE / 普雷斯提奇	PRESTIGE / 普雷斯提奇	プレステージ	std3_dmm	active	更早专属 · 本地库确认
japan_censored	日本有码	ABW	PRESTIGE / 普雷斯提奇	PRESTIGE / 普雷斯提奇	プレステージ	std3_dmm	active	过渡线 · 本地库确认
japan_censored	日本有码	ACHJ	Madonna / 麦当娜	Madonna / 麦当娜	マドンナ	std3_dmm	active	痴女调教旁支 · 权威站:javbus · 本地库确认
japan_censored	日本有码	ACRN	PoRO		PoRO	std3_dmm	active	本地库高频确认(≥100帖) · 成人动画 · 用户确认
japan_censored	日本有码	ADN	Attackers / 攻击者	Attackers / 攻击者	アタッカーズ	std3_open	active	人妻禁忌剧 · 本地库确认
japan_censored	日本有码	ADZ	クリスタル映像		クリスタル映像	std3_dmm	active	本地库高频确认(≥100帖) · 旧番号 · 用户确认
japan_censored	日本有码	AED	Attackers / 攻击者		アタッカーズ	std3_dmm	active	色花堂有码列表×1 · DMM确认
japan_censored	日本有码	AGAV	SEX Agent/妄想族		SEX Agent/妄想族	std3_dmm	active	本地库高频确认(≥100帖)
japan_censored	日本有码	AJVR	アリスJAPAN		アリスJAPAN	std3_dmm	active	本地库高频确认(≥100帖)
japan_censored	日本有码	AKA	PRESTIGE / 普雷斯提奇	PRESTIGE / 普雷斯提奇	プレステージ	std3_dmm	active	出道类 · 本地库确认
japan_censored	日本有码	AKDL	AKNR / 明纪	AKNR / 明纪	ドピュCH	std3_dmm	active	AKNR系主线 · 2026/08/26 · 人工汇总2026-09-06 · JavDB/AvBase/AVWiki；avwikidb相关:アキノリ
japan_censored	日本有码	AKNR	AKNR / 明纪		アキノリ	std3_dmm	active	本地库确认
japan_censored	日本有码	ALD	桃太郎映像出版		桃太郎映像出版	std3_dmm	active	本地库高频确认(≥100帖) · ALL IN ONE合集 · 用户确认
japan_censored	日本有码	ALDN	Takara Eizou / タカラ映像	Takara Eizou	タカラ映像	std3_dmm	active	现行常见 · 权威站:javbus · 本地库确认 · 色花堂有码列表×3
japan_censored	日本有码	AMBI	プラネットプラス		プラネットプラス	std3_dmm	active	本地库高频确认(≥100帖) · 用户确认
japan_censored	日本有码	AMCP	WORLD PG		WORLD PG	std3_dmm	active	本地库高频确认(≥100帖) · 成人动画 Motion Anime · 用户确认
japan_censored	日本有码	ANB	Other Censored / 其他有码	Other Censored / 其他有码	その他有码	std3_dmm	fallback	库内有片；厂牌署名不明，归入其他有码兜底（用户确认：不删）
japan_censored	日本有码	ANND	アンナと花子		アンナと花子	std3_dmm	active	本地库高频确认(≥100帖)
japan_censored	日本有码	APAK	Other Censored / 其他有码	Other Censored / 其他有码	その他有码	std3_dmm	fallback	库内有片；厂牌署名不明，归入其他有码兜底（用户确认：不删）
japan_censored	日本有码	APNS	Aurora Project / オーロラプロジェクト	Aurora Project	オーロラプロジェクト・アネックス	std3_dmm	active	权威站:javbus · 本地库确认 · 色花堂有码列表×2
japan_censored	日本有码	AQSH	アクアモール/エマニエル		アクアモール/エマニエル	std3_dmm	active	本地库高频确认(≥100帖)
japan_censored	日本有码	ARM	Aroma Planning / 阿洛玛企划	Aroma / 阿洛玛企划	アロマ企画	std3_dmm	active	本地库确认
japan_censored	日本有码	ASW	AVS collector's		AVS collector's	std3_dmm	active	本地库高频确认(≥100帖) · 着衣フェチ · 用户确认
japan_censored	日本有码	ATFB	Fetish Box/妄想族		Fetish Box/妄想族	std3_dmm	active	本地库高频确认(≥100帖)
japan_censored	日本有码	ATID	Attackers / 攻击者	Attackers / 攻击者	アタッカーズ	std3_open	active	强剧情单片 · 本地库确认
